material_number,customer_description,manufacturer,confidence,cand1_code,cand1_score,cand1_desc,cand2_code,cand2_score,cand2_desc,cand3_code,cand3_score,cand3_desc,cand4_code,cand4_score,cand4_desc,cand5_code,cand5_score,cand5_desc
10056124,"EYEBOLT,VRS-F-M24,3200KG,STAR KEY",RUD,low,WEN-0320-M24-VRM,46.8,VRM Starpoint Eye Nut - Metric Coarse Thread,WCPS-120-150-C1-NC,46.8,Single Eye,WISH-060-ISH6,46.0,Clevis Sling Hook - ISH Star - ICE 120,WISH-080-ISH8,46.0,Clevis Sling Hook - ISH Star - ICE 120,WISH-100-ISH10,45.6,Clevis Sling Hook - ISH Star - ICE 120
10056659,"CHAIN BLOCK,PAC,CBL01X90P,1T,9M DROP",PACIFIC AUTOMATION,low,WG60-WOX-060,57.0,Chain - INOX Stainless Steel - Grade 60,WG60-VLWI-05/06,56.2,Chain Shortner - INOX Stainless Steel - Grade 60,WCGL-100G,56.0,Grade L Chain,WCIC-040R,54.8,Chain - ICE 120,WCON-A-04-12-R,54.0,4mm MINI Range - ICE 120
10056663,"CHAIN BLOCK,0.5T,3M,HOOK MOUNT",VITAL INDUSTRIES / KITO ARMATUREN / PACIFIC HOISTS / WILLIAM HACKETT LTD,low,S15370010A,60.0,Out Of Service Box,WG60-WOX-050,59.7,Chain - INOX Stainless Steel - Grade 60,WRB-0035-M08-LB-DLP,59.0,Learn More,WCGL-060G,58.5,Grade L Chain,WCGL-080G,58.0,Grade L Chain
10056665,"CHAIN BLOCK,1T,3M,HOOK MOUNT",VITAL INDUSTRIES / PACIFIC HOISTS / WILLIAM HACKETT LTD / KITO ARMATUREN,medium,WHSS-0080T-T,70.6,Swivel Hook - Ball Bearing - Eye Type,WCIC-040R,56.2,Chain - ICE 120,WG60-WOX-060,55.7,Chain - INOX Stainless Steel - Grade 60,WLIB-120-R-LT081301,55.6,Link Brackets - Grade 80,WRB-0100-M12-LB-DLP,55.0,Learn More
10056666,"CHAIN BLOCK,1T,6M,HOOK MOUNT",VITAL INDUSTRIES / PACIFIC HOISTS,medium,WHSS-0080T-T,70.6,Swivel Hook - Ball Bearing - Eye Type,WG60-WOX-060,58.6,Chain - INOX Stainless Steel - Grade 60,WG60-VLWI-05/06,57.5,Chain Shortner - INOX Stainless Steel - Grade 60,WCIC-040R,56.2,Chain - ICE 120,WLIB-120-R-LT081301,55.6,Link Brackets - Grade 80
10056668,"CHAIN BLOCK,2T,3M,HOOK MOUNT",VITAL INDUSTRIES / WILLIAM HACKETT LTD / KITO ARMATUREN / PACIFIC HOISTS,medium,WGRH-C-060-R-IVH-G120,70.6,Clevis Grab Hook - IVH - ICE 120,WLLH-C-060-R-IAGH,70.6,Clevis Self Locking Hook - IAGH - ICE 120,WISH-060-ISH6,70.6,Clevis Sling Hook - ISH Star - ICE 120,WSLH-CP-078-G-SKN,70.6,Sling Hook SKN - Grade 80,WSNB-02T-115-S-BS-BV,61.0,Snatch Block with Shackle Head
10056669,"CHAIN BLOCK,2T,6M,HOOK MOUNT",PACIFIC HOISTS / VITAL INDUSTRIES,medium,WGRH-C-060-R-IVH-G120,70.6,Clevis Grab Hook - IVH - ICE 120,WLLH-C-060-R-IAGH,70.6,Clevis Self Locking Hook - IAGH - ICE 120,WISH-060-ISH6,70.6,Clevis Sling Hook - ISH Star - ICE 120,WSLH-CP-078-G-SKN,70.6,Sling Hook SKN - Grade 80,WSNB-0160-076-WR-SB-C,63.3,Snatch Blocks
10056670,"CHAIN BLOCK,3T,3M,HOOK MOUNT",PACIFIC HOISTS / WILLIAM HACKETT LTD / VITAL INDUSTRIES,medium,WGRH-C-080-R-IVH-G120,70.6,Clevis Grab Hook - IVH - ICE 120,WLLH-C-080-R-IAGH,70.6,Clevis Self Locking Hook - IAGH - ICE 120,WISH-080-ISH8,70.6,Clevis Sling Hook - ISH Star - ICE 120,WCIC-080R,59.2,Chain - ICE 120,WMAL-060-R-IAKRG4,58.6,
10056671,"CHAIN BLOCK,3T,6M,HOOK MOUNT",PACIFIC HOISTS / VITAL INDUSTRIES,medium,WGRH-C-080-R-IVH-G120,70.6,Clevis Grab Hook - IVH - ICE 120,WLLH-C-080-R-IAGH,70.6,Clevis Self Locking Hook - IAGH - ICE 120,WISH-080-ISH8,70.6,Clevis Sling Hook - ISH Star - ICE 120,WMAL-060-R-IAKRG4,58.6,,WCIC-080R,56.2,Chain - ICE 120
10056673,"CHAIN BLOCK,5T,3M,HOOK MOUNT",PACIFIC HOISTS / WILLIAM HACKETT LTD / VITAL INDUSTRIES,medium,WGRH-C-100-R-IVH-G120,70.6,Clevis Grab Hook - IVH - ICE 120,WLLH-C-100-R-IAGH,70.6,Clevis Self Locking Hook - IAGH - ICE 120,WISH-100-ISH10,70.6,Clevis Sling Hook - ISH Star - ICE 120,WMAL-080-R-IAKRG4,59.9,,WCIC-100R,58.6,Chain - ICE 120
10056674,"CHAIN BLOCK,5T,6M,HOOK MOUNT",PACIFIC HOISTS / VITAL INDUSTRIES,medium,WGRH-C-100-R-IVH-G120,70.6,Clevis Grab Hook - IVH - ICE 120,WLLH-C-100-R-IAGH,70.6,Clevis Self Locking Hook - IAGH - ICE 120,WISH-100-ISH10,70.6,Clevis Sling Hook - ISH Star - ICE 120,WMAL-080-R-IAKRG4,56.7,,WCIC-100R,55.7,Chain - ICE 120
10056676,"EYEBOLT,VRS-F-3/8IN-16UNC,400KG,STAR KEY",RUD,low,WISH-080-ISH8,53.0,Clevis Sling Hook - ISH Star - ICE 120,WISH-060-ISH6,51.1,Clevis Sling Hook - ISH Star - ICE 120,WISH-130-ISH13,50.7,Clevis Sling Hook - ISH Star - ICE 120,WCIC-080R,50.0,Chain - ICE 120,WCUP-080-R-IVS,50.0,Connecting Link - IVS - ICE 120
10056678,"EYEBOLT,VRS-F-5/8IN-11UNC,1500KG,STARKEY",RUD,low,WMAL-100-R-IAKRG4,52.7,,WMAL-130-R-IAKRG4,52.1,,WMAL-100-R-IAKRG2,51.2,Safety Heat Indicator,WMAL-130-R-IAKRG2,50.8,Safety Heat Indicator,WCIC-060R,50.0,Chain - ICE 120
10056679,"EYEBOLT,VRS-F-3/4IN-10UNC,2300KG,STARKEY",RUD,low,WMAL-040-R-IML,50.9,4mm MINI Range - ICE 120,WCIC-080R,50.0,Chain - ICE 120,WCUP-080-R-IVS,50.0,Connecting Link - IVS - ICE 120,WCUP-100-R-IVS,49.6,Connecting Link - IVS - ICE 120,WCUP-130-R-IVS,49.6,Connecting Link - IVS - ICE 120
10056680,"EYEBOLT,VRS-F-7/8IN-9UNC,2300KG,STAR KEY",RUD,low,WISH-060-ISH6,53.0,Clevis Sling Hook - ISH Star - ICE 120,WISH-080-ISH8,53.0,Clevis Sling Hook - ISH Star - ICE 120,WISH-130-ISH13,52.6,Clevis Sling Hook - ISH Star - ICE 120,WISH-100-ISH10,50.7,Clevis Sling Hook - ISH Star - ICE 120,WISH-160-ISH16,50.4,Clevis Sling Hook - ISH Star - ICE 120
10056681,"EYEBOLT,VRS-F-1IN-8UNC,3200KG,STAR KEY",RUD,low,WISH-060-ISH6,51.9,Clevis Sling Hook - ISH Star - ICE 120,WISH-080-ISH8,50.0,Clevis Sling Hook - ISH Star - ICE 120,WISH-100-ISH10,49.6,Clevis Sling Hook - ISH Star - ICE 120,WISH-130-ISH13,49.6,Clevis Sling Hook - ISH Star - ICE 120,WISH-160-ISH16,49.3,Clevis Sling Hook - ISH Star - ICE 120
10056682,"EYEBOLT,VRSF-1-1/4IN-7UNC,4500KG,STARKEY",RUD,low,WMAL-040-R-IML,49.6,4mm MINI Range - ICE 120,WMAL-100-R-IAKRG1,48.7,Safety Heat Indicator,WMAL-080-R-IAKRG2,48.3,Safety Heat Indicator,WMAL-160-R-IAKRG1,48.3,Safety Heat Indicator,WMAL-100-R-IAKRG2,47.9,Safety Heat Indicator
10056683,"EYEBOLT,VRS-M10,400KG,STARPOINT",RUD,medium,WEN-0040-M10-VRM,69.1,VRM Starpoint Eye Nut - Metric Coarse Thread,WEN-0010-M6-VRM,55.0,VRM Starpoint Eye Nut - Metric Coarse Thread,WEN-0030-M8-VRM,55.0,VRM Starpoint Eye Nut - Metric Coarse Thread,WEN-0075-M12-VRM,55.0,VRM Starpoint Eye Nut - Metric Coarse Thread,WEN-0150-M16-VRM,55.0,VRM Starpoint Eye Nut - Metric Coarse Thread
10056684,"EYEBOLT,VRS-F-M12,750KG,STAR KEY",RUD,low,WEN-0075-M12-VRM,47.2,VRM Starpoint Eye Nut - Metric Coarse Thread,WRSL-006-M12-WBGV-21,46.0,VWBG-V Swivel Lifting Ring,WCPS-055-075-C1-NC,45.9,Single Eye,WCPS-075-095-C1-NC,45.9,Single Eye,WEB-0075-M12-R-VRSF,44.9,VRBS Weld-on Eye Plate
10056685,"EYEBOLT,VRS-M24,3200KG,STARPOINT",RUD,medium,WEN-0320-M24-VRM,67.8,VRM Starpoint Eye Nut - Metric Coarse Thread,WEN-0010-M6-VRM,53.9,VRM Starpoint Eye Nut - Metric Coarse Thread,WEN-0030-M8-VRM,53.9,VRM Starpoint Eye Nut - Metric Coarse Thread,WEN-0040-M10-VRM,53.9,VRM Starpoint Eye Nut - Metric Coarse Thread,WEN-0075-M12-VRM,53.9,VRM Starpoint Eye Nut - Metric Coarse Thread
10056687,"RING,RUD,VLBGM30,LOAD,5T,C/W M30 BOLT",RUD,high,WRL-0500-NS-R-ABA,85.7,W-ABA Weld-on Load Ring,WRSL-050-M30-WBGV-50,81.2,VWBG-V Swivel Lifting Ring,WMAL-080-R-IAKRG4,73.1,,WRL-0080-NS-R-ABA,67.7,W-ABA Weld-on Load Ring,WRL-0160-NS-R-ABA,67.7,W-ABA Weld-on Load Ring
10056688,"RING,RUD,VLBGM36,LOAD,8T,C/W M36 BOLT",RUD,medium,WRL-0080-NS-R-ABA,67.7,W-ABA Weld-on Load Ring,WRL-0160-NS-R-ABA,67.7,W-ABA Weld-on Load Ring,WRL-0320-NS-R-ABA,67.7,W-ABA Weld-on Load Ring,WRL-0500-NS-R-ABA,67.7,W-ABA Weld-on Load Ring,WRL-1000-NS-R-ABA,67.7,W-ABA Weld-on Load Ring
10056698,"HOIST,LIFT,LEVER,6.3T,C/W O/L LIMITER",KITO ARMATUREN / VITAL INDUSTRIES,medium,WRB-0600-M30-CP-RLP,66.8,Learn More,WEB-0230-M20-R-VRSF,64.8,VRBS Weld-on Eye Plate,WEN-360-M-400P-S,64.7,Eyenuts - Metric - Grade 4,WEB-360-M-400P-S-WLL,64.2,Eyebolts - Metric - Grade 4,WRSC-270-M-JJ-P-G,62.8,Lifting & Rigging Components
10056699,"SLING,SYN,RD,1T X 0.5M",SPANSET,high,WRS-010-005-E,84.7,Round Slings,WRS-010-007-E,84.7,Round Slings,WRS-010-010-E,84.7,Round Slings,WRS-010-015-E,84.7,Round Slings,WRS-010-020-E,84.7,Round Slings
10056700,"SLING,SYN,RD,2T X 0.5M",SPANSET,high,WRS-020-005-E,84.7,Round Slings,WRS-020-007-E,84.7,Round Slings,WRS-020-010-E,84.7,Round Slings,WRS-020-015-E,84.7,Round Slings,WRS-020-020-E,84.7,Round Slings
10056701,"SLING,SYN,RD,2T X 1.5M",SPANSET,high,WRS-020-005-E,80.5,Round Slings,WRS-020-007-E,80.5,Round Slings,WRS-020-010-E,80.5,Round Slings,WRS-020-015-E,80.5,Round Slings,WRS-020-020-E,80.5,Round Slings
10056702,"SLING,SYN,RD,2T X 2.5M",SPANSET,high,WRS-020-005-E,80.5,Round Slings,WRS-020-007-E,80.5,Round Slings,WRS-020-010-E,80.5,Round Slings,WRS-020-015-E,80.5,Round Slings,WRS-020-020-E,80.5,Round Slings
10056703,"SLING,SYN,RD,3T X 0.5M,POLY,YLW",SPANSET,medium,WRS-030-005-E,74.1,Round Slings,WRS-030-010-E,74.1,Round Slings,WRS-030-015-E,74.1,Round Slings,WRS-030-020-E,74.1,Round Slings,WRS-030-025-E,74.1,Round Slings
10056704,"SLING,SYN,RD,3T X 1.5M,POLY,YLW",SPANSET,medium,WRS-030-005-E,70.6,Round Slings,WRS-030-010-E,70.6,Round Slings,WRS-030-015-E,70.6,Round Slings,WRS-030-020-E,70.6,Round Slings,WRS-030-025-E,70.6,Round Slings
10056705,"SLING,SYN,RD,4T X 4M",SPANSET,high,WRS-040-010-E,83.2,Round Slings,WRS-040-015-E,83.2,Round Slings,WRS-040-020-E,83.2,Round Slings,WRS-040-030-E,83.2,Round Slings,WRS-040-040-E,83.2,Round Slings
10056706,"SLING,SYN,RD,5T X 1M",SPANSET,high,WRS-050-010-E,83.2,Round Slings,WRS-050-015-E,83.2,Round Slings,WRS-050-020-E,83.2,Round Slings,WRS-050-030-E,83.2,Round Slings,WRS-050-040-E,83.2,Round Slings
10056707,"SLING,SYN,RD,6T X 1M,POLY,BRN",SPANSET,medium,WRS-060-010-E,76.2,Round Slings,WRS-060-020-E,76.2,Round Slings,WRS-060-025-E,76.2,Round Slings,WRS-060-030-E,76.2,Round Slings,WRS-060-040-E,76.2,Round Slings
10056709,"SLING,SYN,RD,6T X 4M,POLY,BRN",SPANSET,medium,WRS-060-010-E,76.2,Round Slings,WRS-060-020-E,76.2,Round Slings,WRS-060-025-E,76.2,Round Slings,WRS-060-030-E,76.2,Round Slings,WRS-060-040-E,76.2,Round Slings
10056712,"SLING,SYN,RD,8T X 2M",SPANSET,medium,WRS-080-010-E,78.0,,WRS-080-020-E,78.0,,WRS-080-025-E,78.0,,WRS-080-030-E,78.0,,WRS-080-040-E,78.0,
10056713,"SLING,SYN,RD,8T X 3M",SPANSET,medium,WRS-080-010-E,78.0,,WRS-080-020-E,78.0,,WRS-080-025-E,78.0,,WRS-080-030-E,78.0,,WRS-080-040-E,78.0,
10056714,"SLING,SYN,RD,8T X 4M",SPANSET / A NOBLE & SONS,medium,WRS-080-010-E,78.0,,WRS-080-020-E,78.0,,WRS-080-025-E,78.0,,WRS-080-030-E,78.0,,WRS-080-040-E,78.0,
10056715,"SLING,SYN,RD,8T X 10M",SPANSET,high,WRS-080-010-E,81.4,,WRS-080-020-E,81.4,,WRS-080-025-E,81.4,,WRS-080-030-E,81.4,,WRS-080-040-E,81.4,
10056717,"SLING,SYN,RD,10T X 2M",SPANSET,medium,WWS-100-030-2-300,79.5,Synthetic Slings,WWS-100-060-2-300,79.5,Synthetic Slings,WRS-100-005-E,78.0,,WRS-100-010-E,78.0,,WRS-100-015-E,78.0,
10056718,"SLING,SYN,RD,10T X 3M",SPANSET,medium,WWS-100-030-2-300,79.5,Synthetic Slings,WWS-100-060-2-300,79.5,Synthetic Slings,WRS-100-005-E,78.0,,WRS-100-010-E,78.0,,WRS-100-015-E,78.0,
10056719,"SLING,SYN,RD,10T X 4M",SPANSET,medium,WWS-100-030-2-300,79.5,Synthetic Slings,WWS-100-060-2-300,79.5,Synthetic Slings,WRS-100-005-E,78.0,,WRS-100-010-E,78.0,,WRS-100-015-E,78.0,
10056720,"SHACKLE,BOW,11MM X 1.5T,SAFETY BOLT",Sparrows Services Australia Pty Ltd / VAN BEEST,medium,WSS-0015-SA-B-GP,65.5,Screw Dee Shackles - Grade M,WSS-0015-SC-B,60.2,Screw Bow Shackles - Alloy Grade S - Galvanised,WTB-T-158-JJ-G-12INT,59.9,Turnbuckles,WG60-HSWI-07/08,55.9,,WG60-AWI-130,55.5,Master Link - INOX Stainless Steel - Grade 60
10056721,"SHACKLE,BOW,28MM X 9.5T,SAFETY BOLT",Sparrows Services Australia Pty Ltd / VAN BEEST,medium,WSS-0095-SA-B,69.1,Safety Bow Shackles - Alloy Grade S - Galvanised,WSS-0095-SA-B-GP,65.5,Screw Dee Shackles - Grade M,WSS-0095-SC-B,60.2,Screw Bow Shackles - Alloy Grade S - Galvanised,WSS-0095-SA-D,59.8,Safety Dee Shackles - Alloy Grade S - Galvanised,WSS-0095-SC-D,54.7,Screw Dee Shackles - Alloy Grade S - Galvanised
10056722,"SHACKLE,BOW,45MM X 25T,SAFETY BOLT",SAFESPEAR PTY LTD / VAN BEEST / Sparrows Services Australia Pty Ltd,medium,WSS-0250-SA-B-GP,66.2,Screw Dee Shackles - Grade M,WSS-0250-SA-B,66.1,Safety Bow Shackles - Alloy Grade S - Galvanised,WSS-0250-SC-B,61.0,Screw Bow Shackles - Alloy Grade S - Galvanised,WSS-0250-SA-D,60.6,Safety Dee Shackles - Alloy Grade S - Galvanised,WEB-720-M-600P-S-WLL,57.1,Eyebolts - Metric - Grade 4
10056725,"CLAMP,RILEY,BEAMRILEYS2A,GIRDER,76-190MM",RILEY LIFTING CLAMP,low,WCPS-150-190-D1-NC,48.5,Double Eye,WGC-0200-076-190-BCU,46.3,Universal Beam Clamp - BCU,WGC-0300-125-204-BCU,46.3,Universal Beam Clamp - BCU,WGC-0500-125-305-BCU,46.3,Universal Beam Clamp - BCU,WGC-1000-125-305-BCU,46.3,Universal Beam Clamp - BCU
10056727,"RING,LIFT,OBLONG,19MM,5.4T",GUNNEBO,medium,WMAL-130-G-SKG,69.9,Master Link SKG - Closed,WCUP-RS-130-G-SKR,69.3,Round Sling Connector SKR,WSLH-CP-130-G-SKN,68.0,Sling Hook SKN - Grade 80,WMAL-130-G-SKO,67.1,Master Link SKO - Open,WMAL-10/08-G-MFX,66.6,Master Links - Type MFX
10056728,"RING,LIFT,OBLONG,34MM,17T",GUNNEBO,medium,WCS-16-4-040-BVE,68.9,,WCS-16-4-050-BVE,68.9,,WCS-16-4-060-BVE,68.9,,WMAL-17T-C-A1343,68.0,Lifting Chain & Fittings,WMAL-17T-C-A1346,68.0,Lifting Chain & Fittings
10056729,"RING,LIFT,OBLONG,40MM,17T",GUNNEBO,medium,WCS-16-4-040-BVE,65.3,,WCS-16-4-050-BVE,65.3,,WCS-16-4-060-BVE,65.3,,WMAL-17T-C-A1343,64.4,Lifting Chain & Fittings,WMAL-17T-C-A1346,64.4,Lifting Chain & Fittings
10056730,"RING,LIFT,OBLONG,MULTI,28MM,5.2T",GUNNEBO,medium,WSS-0005-SA-B-858,72.8,,WTB-T-240-EE-G-GDES,72.8,,WTB-T-240-JE-G-GDES,72.8,,WTB-T-240-JJ-G-GDES,72.8,,WRSC-240-EE-S-G-A,72.8,Lifting & Rigging Components
10056731,"RING,LIFT,OBLONG,MULTI,40MM,11.5T",GUNNEBO,medium,WRSC-390-JJ-P-G-A,72.8,Lifting & Rigging Components,WRSC-450-JJ-S-G-A,72.8,Lifting & Rigging Components,WCS-13-4-020-BVE,68.8,,WCS-13-4-030-BVE,68.8,,WCS-13-4-040-BVE,68.8,
10056732,"RING,LIFT,OBLONG,MULTI,50MM,28T",GUNNEBO,medium,WMAL-15T-C-A1346,68.0,Lifting Chain & Fittings,WMAL-28T-C-A1346,68.0,Lifting Chain & Fittings,WSLH-CP-078-G-SKN,67.6,Sling Hook SKN - Grade 80,WMAL-13/10-G-MFX,64.6,Master Links - Type MFX,WCCA-260G,63.6,Grade 100 Alloy Chain - GrabiQ
10056733,"SLING,WIRE ROPE,40X60,2T,6M",The Rigging Shed,medium,WRS-020-005-E,67.1,Round Slings,WRS-020-007-E,67.1,Round Slings,WRS-020-010-E,67.1,Round Slings,WRS-020-015-E,67.1,Round Slings,WRS-020-020-E,67.1,Round Slings
10056734,"SLING,WIRE ROPE,50X20,4T,2M",The Rigging Shed,medium,WRS-040-010-E,67.1,Round Slings,WRS-040-015-E,67.1,Round Slings,WRS-040-020-E,67.1,Round Slings,WRS-040-030-E,67.1,Round Slings,WRS-040-040-E,67.1,Round Slings
10056735,"SLING,WIRE ROPE,50X60,4T,6M",The Rigging Shed,medium,WRS-040-010-E,67.1,Round Slings,WRS-040-015-E,67.1,Round Slings,WRS-040-020-E,67.1,Round Slings,WRS-040-030-E,67.1,Round Slings,WRS-040-040-E,67.1,Round Slings
10056736,"SLING,CHAIN,2 LEGGED,10MM,5.5T,8M",GUNNEBO,high,WCUP-RS-130-G-SKR,84.5,Round Sling Connector SKR,WSLH-CP-130-G-SKN,84.5,Sling Hook SKN - Grade 80,WMAL-10/08-G-MFX,82.3,Master Links - Type MFX,WCUP-RS-100-G-SKR,74.5,Round Sling Connector SKR,WSLH-CP-100-G-SKN,74.5,Sling Hook SKN - Grade 80
10056737,"SLING,CHAIN,2 LEGGED,12MM,9.2T,8M",GUNNEBO,medium,WMAL-9T-C-A1343,79.5,Lifting Chain & Fittings,WMAL-9T-C-A1346,79.5,Lifting Chain & Fittings,WLLH-C-080-BVE-G100,73.5,Clevis Type Self Locking Hook,WGRH-C-080-BVE-G100,69.5,Clevis Type Grab Hook - Grade 100,WSLH-AE-080-BVE-G100,66.5,Eye Type Sling Hook
10056738,"SLING,CHAIN,4 LEGGED,10MM,5.5T,8M",GUNNEBO,high,WCUP-RS-130-G-SKR,90.5,Round Sling Connector SKR,WSLH-CP-130-G-SKN,90.5,Sling Hook SKN - Grade 80,WMAL-10/08-G-MFX,82.3,Master Links - Type MFX,WBBS-130-G-SKLIASSY,78.5,Swivel Assembly - Grade 80,WHFL-130-G-SKT,75.9,Half Link SKT - Grade 80
10056741,"BAG,LIFTER,CANVAS,50KG SWL",USC,low,WLIF-HDB-LG50HV,49.2,Lifting Bags,WFWS-T1A-050-0100,48.5,Cradle Lift,WFWS-T1E-050-0250,48.5,Cradle Lift,WBBS-100-G-SKLI,47.2,Roller-Bearing Swivel SKL,WBBS-130-G-SKLI,47.2,Roller-Bearing Swivel SKL
10056745,"CAGE,LIFTING,GOODS CAGE,1T,C/W RAMP",The Rigging Shed,medium,WTB-T-120-EE-G-GDES,74.7,,WTB-T-120-JE-G-GDES,74.7,,WTB-T-120-JJ-G-GDES,74.7,,WRSC-120-EE-S-G-A,74.7,Lifting & Rigging Components,WRSC-120-JE-S-G-A,74.7,Lifting & Rigging Components
10056746,"CAGE,LIFTING,GOODS CAGE,1T,DOOR & RAMP",The Rigging Shed,medium,S1505010,72.3,Lifting Frames,WTB-T-120-EE-G-GDEP,70.5,,WTB-T-120-EE-G-GDES,70.5,,WTB-T-120-JE-G-GDEP,70.5,,WTB-T-120-JE-G-GDES,70.5,
10056747,"BASKET,LIFT,SCAFFOLD,C/W HORN",The Rigging Shed,low,WFWS-T2R-050-0200,49.3,Choker Lift,WFWS-T2R-064-0250,49.3,Choker Lift,WFWS-T2R-076-0200,49.3,Choker Lift,WFWS-T2R-088-0200,49.3,Choker Lift,WFWS-T2R-125-0500,49.3,Choker Lift
10056750,"LIFTER,DRUM,FLOWER POT,BUNDED",The Rigging Shed,low,WFBH-3-P-M-M1020322M,46.4,Polyester Harness,WLDB-060-R-GH-AS,45.3,Load Binders,WLDB-080-R-GH-AS,45.3,Load Binders,WU1S-1480-030-ASB1L,44.4,Bullivants Code,WLDB-100-R-GH-AS,44.4,Load Binders
10056756,"SLING,WEBBING,12T,6M,180MM W,4PLY",USC,medium,WRSC-390-JJ-P-G-A,63.2,Lifting & Rigging Components,WRSC-450-JJ-S-G-A,63.2,Lifting & Rigging Components,WSS-0125-SA-B-858,61.8,,WCIC-160R,60.7,Chain - ICE 120,WRS-120-040-E,60.3,
10060196,"ROPE,PP,SYN,2.10KN,BLU,4MM DIA,ROLL,300M",DONAGHYS LTD,medium,WF-040-FB-300M,61.5,Polypropylene Blue Rope,WFEA-040-D-S,53.7,Aluminium - DIN Grade 3093,WS032-3R,53.1,PVC Coated - Stainless Steel Rope,WS032-3W,53.1,PVC Coated - Stainless Steel Rope,WF-060-FB-250M,50.7,Polypropylene Blue Rope
10060732,"TROLLEY,SCISSOR LIFT,350KG,900X500MM",PACIFIC HOISTS,low,WPT-0050-062-128-TG,49.3,Push Trolley - TP,WPT-0050-062-128-TGCR,49.3,Push Trolley - TP,WPT-0500-106-194-TG,49.3,Push Trolley - TP,WPT-0500-106-194-TGCR,49.3,Push Trolley - TP,WPT-0500-106-305-TG,49.3,Push Trolley - TP
10061683,"ROPE,WIRE,GALV STL,7X7,2MM DIA,BULK",A NOBLE & SONS,medium,WS020-44,63.0,7X19 Construction,WS020-46,63.0,7X19 Construction,W0020LA4K,62.2,7X7 Construction Steel Core,WV020WA1B,61.5,PVC Coated Galvanised Rope,WFEA-020-D-S,60.9,Aluminium - DIN Grade 3093
10061688,"SHACKLE,BOW,NON-LIFTING,SS316,5MM SIZE",A NOBLE & SONS,low,WSTB-050-EE-311E05,56.9,Turnbuckles - Stainless Steel,WSTB-050-HE-311HE05,56.9,Turnbuckles - Stainless Steel,WSTB-050-HTB16HHM05,56.9,Turnbuckles - Stainless Steel,WSTB-050-HTB16JJM05,56.9,Turnbuckles - Stainless Steel,WSNB-02T-115-S-BS-BV,56.6,Snatch Block with Shackle Head
10061689,"SHACKLE,BOW,NON-LIFTING,SS316,8MM SIZE",A NOBLE & SONS,low,WSTB-080-EE-311E08,56.9,Turnbuckles - Stainless Steel,WSTB-080-HE-311HE08,56.9,Turnbuckles - Stainless Steel,WSTB-080-HTB16HHM08,56.9,Turnbuckles - Stainless Steel,WSTB-080-HTB16JJM08,56.9,Turnbuckles - Stainless Steel,WPSA-078-G-SKA,56.8,Locking Set SKA
10061690,"SHACKLE,BOW,NON-LIFTING,SS316,12MM SIZE",A NOBLE & SONS,low,WSTB-120-HTB16EEM12,58.0,Turnbuckles - Stainless Steel,WSTB-120-HTB16HEM12,58.0,Turnbuckles - Stainless Steel,WSTB-120-HTB16HHM12,58.0,Turnbuckles - Stainless Steel,WSTB-120-HTB16JJM12,58.0,Turnbuckles - Stainless Steel,W0120NRDA,55.8,"Wire Rope, Strand & Fittings"
10061693,"CARABINER,TRIPLE ACTION",A NOBLE & SONS,low,WKAR-S-TL10-K4CRABSET,52.6,Karabiners,WAUSB-080-L-SH-AS,50.0,Maxibinder Ausbinder,WLDB-060-L-GH-G70-M,50.0,Maxibinder Ausbinder,WFBHP-S-SG238,50.0,Relief Straps,WCSR-0604,50.0,Stainless Steel Chain
10061697,"CAGE,LIFTING,DROP SIDE GOODS,1T WLL",A NOBLE & SONS,medium,WTB-T-120-EE-G-GDEP,70.3,,WTB-T-120-EE-G-GDES,70.3,,WTB-T-120-JE-G-GDEP,70.3,,WTB-T-120-JE-G-GDES,70.3,,WTB-T-120-JJ-G-GDEP,70.3,
10064803,"SLING,SYN,RD,1T X 2M,VIOLET",BULLIVANTS,medium,WRS-010-005-E,78.4,Round Slings,WRS-010-007-E,78.4,Round Slings,WRS-010-010-E,78.4,Round Slings,WRS-010-015-E,78.4,Round Slings,WRS-010-020-E,78.4,Round Slings
10064805,"SLING,SYN,RD,3T X 3M,YLW",BULLIVANTS,medium,WRS-030-005-E,78.0,Round Slings,WRS-030-010-E,78.0,Round Slings,WRS-030-015-E,78.0,Round Slings,WRS-030-020-E,78.0,Round Slings,WRS-030-025-E,78.0,Round Slings
10064806,"SLING,SYN,RD,6T X 2M,BRN",BULLIVANTS,high,WRS-060-010-E,82.0,Round Slings,WRS-060-020-E,82.0,Round Slings,WRS-060-025-E,82.0,Round Slings,WRS-060-030-E,82.0,Round Slings,WRS-060-040-E,82.0,Round Slings
10075219,"PULLEY,SHEAVE,DODGE,1210,3.15,STL",DODGE,low,WCPS-120-150-C1HD-NC,51.9,Heavy Duty,WCPS-095-120-C1HD-NC,50.0,Heavy Duty,WG60-AWI-180,49.4,Master Link - INOX Stainless Steel - Grade 60,WCPS-120-150-D1-NC,49.4,Double Eye,WCPS-120-150-S1-NC,49.4,Double Eye
